Screen size,Screen type,Chip,RAM,ROM,Batery,OS,Screen resolution,Price,Mobile network,Camera count,Camera max MP
6.5,AMOLED,snapdragon,8192.0,131072.0,4500.0,android,2592000.0,8500,5.0,0,108.0
6.78,AMOLED,snapdragon,12288.0,262144.0,6000.0,android,2604960.0,17990,5.0,0,108.0
6.53,IPS LCD,mediatek helio,2048.0,32768.0,5000.0,android,1152000.0,2200,5.0,0,108.0
6.67,AMOLED,snapdragon,12288.0,262144.0,5000.0,android,2592000.0,13500,5.0,0,108.0
6.67,AMOLED,snapdragon,8192.0,131072.0,4200.0,android,2592000.0,9990,5.0,0,108.0
6.5,PLS TFT LCD,mediatek helio,4096.0,65536.0,5000.0,ios,2592000.0,3650,5.0,0,108.0
6.73,OLED,snapdragon,12288.0,262144.0,4600.0,android,4608000.0,22390,5.0,0,108.0
6.78,AMOLED,snapdragon,8192.0,131072.0,6000.0,android,2604960.0,15790,5.0,0,108.0
6.7,AMOLED,snapdragon,8192.0,131072.0,5000.0,android,2592000.0,6590,5.0,0,108.0
6.9,IPS LCD,mediatek helio,6144.0,131072.0,7000.0,android,2592000.0,3850,5.0,0,108.0
6.9,IPS LCD,mediatek helio,6144.0,131072.0,7000.0,android,2592000.0,3850,5.0,0,108.0
6.71,IPS LCD,snapdragon,4096.0,131072.0,2406.0,android,1152000.0,3350,5.0,0,108.0
6.51,IPS LCD,mediatek helio,4096.0,65536.0,5000.0,android,2604960.0,3150,5.0,0,108.0
6.6,TFT LCD,snapdragon,4096.0,131072.0,5000.0,android,2604960.0,4950,5.0,0,108.0
6.7,AMOLED,snapdragon,8192.0,262144.0,5000.0,android,2592000.0,10100,5.0,0,108.0
7.6,AMOLED,snapdragon,12288.0,262144.0,4400.0,android,2604960.0,32990,5.0,0,108.0
6.8,AMOLED,exynos,12288.0,131072.0,5000.0,android,4608000.0,19390,5.0,0,108.0
6.5,IPS LCD,unisoc,3072.0,32768.0,5000.0,android,1152000.0,2750,5.0,0,108.0
6.43,AMOLED,mediatek helio,8192.0,131072.0,5000.0,android,2592000.0,5500,5.0,0,108.0
6.8,IPS LCD,unisoc,6144.0,131072.0,6000.0,android,2604960.0,3249,5.0,0,108.0
6.5,AMOLED,snapdragon,8192.0,262144.0,4500.0,android,2592000.0,11990,5.0,0,108.0
6.43,AMOLED,snapdragon,6144.0,131072.0,5000.0,android,2592000.0,5100,5.0,0,108.0
6.43,AMOLED,mediatek helio,8192.0,131072.0,5000.0,android,2592000.0,6390,5.0,0,108.0
6.5,IPS LCD,unisoc,4096.0,131072.0,5050.0,android,1152000.0,3490,5.0,0,108.0
6.1,IPS LCD,apple,3072.0,65536.0,2942.0,ios,1483776.0,12500,5.0,0,108.0
6.5,AMOLED,snapdragon,6144.0,131072.0,5000.0,android,2592000.0,6850,5.0,0,108.0
6.5,AMOLED,snapdragon,8192.0,262144.0,4000.0,android,2592000.0,7990,5.0,0,108.0
6.1,OLED,apple,6144.0,131072.0,2406.0,ios,2962440.0,25500,5.0,0,108.0
6.67,AMOLED,snapdragon,8192.0,131072.0,5000.0,android,2592000.0,8490,5.0,0,108.0
6.5,PLS TFT LCD,mediatek helio,4096.0,131072.0,5000.0,ios,2592000.0,3950,5.0,0,108.0
6.53,PLS TFT LCD,mediatek helio,4096.0,131072.0,5000.0,android,1152000.0,3050,5.0,0,108.0
6.5,TFT LCD,helio,4096.0,131072.0,5000.0,android,1123200.0,3750,5.0,0,108.0
6.9,AMOLED,exynos,12288.0,131072.0,5000.0,android,4608000.0,16000,5.0,0,108.0
6.43,AMOLED,snapdragon,8192.0,131072.0,4500.0,android,2592000.0,7890,5.0,0,108.0
6.6,IPS LCD,snapdragon,8192.0,131072.0,5000.0,android,2604960.0,7190,5.0,0,108.0
5.4,OLED,apple,4096.0,131072.0,2406.0,ios,2527200.0,17490,5.0,0,108.0
6.5,IPS LCD,unisoc,2048.0,32768.0,5000.0,android,1170000.0,2490,5.0,0,108.0
6.67,IPS LCD,snapdragon,8192.0,262144.0,5000.0,android,2592000.0,11200,5.0,0,108.0
6.8,AMOLED,snapdragon,12288.0,524288.0,5000.0,android,4446720.0,34790,5.0,0,108.0
6.7,AMOLED,snapdragon,8192.0,131072.0,4500.0,android,2592000.0,7700,5.0,0,108.0
6.59,AMOLED,snapdragon,12288.0,524288.0,6000.0,android,2527200.0,16990,5.0,0,108.0
6.6,AMOLED,snapdragon,8192.0,262144.0,4500.0,android,2527200.0,25990,5.0,0,108.0
6.7,PLS TFT LCD,exynos,8192.0,262144.0,4300.0,android,2592000.0,15000,5.0,0,108.0
6.8,AMOLED,snapdragon,12288.0,131072.0,5050.0,android,2592000.0,16990,5.0,0,108.0
6.5,AMOLED,exynos,6144.0,131072.0,4000.0,ios,2527200.0,6500,5.0,0,108.0
7.6,AMOLED,snapdragon,12288.0,524288.0,4400.0,android,2604960.0,35890,5.0,0,108.0
6.6,PLS TFT LCD,snapdragon,8192.0,131072.0,4000.0,android,1749600.0,4790,5.0,0,108.0
6.1,OLED,apple,4096.0,262144.0,3200.0,ios,2962440.0,23500,5.0,0,108.0
6.8,AMOLED,snapdragon,12288.0,262144.0,5000.0,android,4446720.0,31990,5.0,0,108.0
6.43,AMOLED,snapdragon,8192.0,131072.0,4300.0,android,2592000.0,8990,5.0,0,108.0
6.5,PLS TFT LCD,mediatek,4096.0,65536.0,5000.0,android,1152000.0,3300,5.0,0,108.0
6.6,IPS LCD,mediatek dimensity,8192.0,131072.0,5000.0,android,2592000.0,6290,5.0,0,108.0
6.44,AMOLED,mediatek dimensity,8192.0,131072.0,4200.0,android,2592000.0,10990,5.0,0,108.0
6.4,AMOLED,exynos,8192.0,131072.0,4500.0,ios,2592000.0,12790,5.0,0,108.0
6.4,AMOLED,mediatek helio,8192.0,131072.0,5000.0,android,2592000.0,6390,5.0,0,108.0
6.82,IPS LCD,snapdragon,6144.0,131072.0,5000.0,android,1123200.0,4590,5.0,0,108.0
